RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04
102001,United States,0,1264,1275,1276,1282,1295,1305,1315,1319,1321,1321,1321,1321,1325,1333,1341,1352,1361,1370,1375,1380,1381,1382,1382,1383,1388,1395,1403,1412,1420,1427,1429,1432,1432,1431,1431,1430,1434,1440,1448,1457,1467,1473,1479,1481,1480,1479,1478,1479,1483,1489,1498,1507,1516,1524,1530,1534,1534,1534,1535,1536,1540,1546,1555,1565,1575,1584,1589,1592,1591,1589,1588,1590,1595,1604,1609,1603,1599,1601,1603,1600,1597,1596,1600,1603,1607,1614,1631,1656,1686,1719,1754,1787,1811,1829,1846,1862,1868,1892,1908,1927
394913,"New York, NY",1,2257,2285,2292,2298,2331,2348,2366,2374,2377,2376,2379,2372,2381,2395,2410,2440,2452,2464,2471,2479,2487,2489,2482,2479,2482,2489,2492,2509,2523,2536,2523,2533,2539,2534,2532,2524,2521,2525,2536,2552,2568,2575,2584,2580,2588,2578,2559,2560,2554,2555,2565,2579,2593,2607,2620,2626,2625,2617,2608,2606,2605,2614,2630,2641,2666,2684,2692,2693,2686,2679,2666,2654,2661,2681,2686,2672,2654,2636,2605,2547,2492,2454,2434,2426,2427,2433,2456,2493,2540,2590,2651,2696,2736,2764,2790,2822,2854,2906,2955,3004
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1797,1826,1815,1822,1845,1864,1883,1898,1908,1913,1912,1916,1929,1937,1954,1968,1978,1990,2006,2019,2027,2036,2044,2049,2061,2078,2090,2097,2115,2129,2133,2145,2151,2157,2159,2164,2176,2188,2200,2215,2230,2237,2251,2258,2262,2264,2269,2268,2279,2287,2295,2307,2317,2331,2339,2351,2356,2362,2369,2373,2377,2382,2389,2401,2409,2420,2430,2438,2443,2443,2447,2455,2460,2465,2464,2439,2424,2421,2420,2412,2414,2421,2425,2422,2421,2430,2444,2466,2498,2541,2585,2639,2675,2703,2727,2750,2769,2802,2831,2864
394463,"Chicago, IL",3,1446,1458,1460,1465,1480,1494,1503,1506,1500,1496,1494,1493,1496,1500,1491,1513,1527,1542,1550,1556,1551,1543,1534,1534,1542,1551,1561,1574,1586,1595,1601,1602,1593,1580,1572,1568,1568,1583,1596,1609,1622,1629,1631,1628,1620,1612,1605,1606,1608,1616,1629,1638,1650,1659,1662,1660,1653,1642,1639,1636,1644,1653,1665,1679,1691,1701,1706,1705,1701,1693,1683,1682,1691,1701,1710,1708,1707,1706,1701,1689,1671,1651,1638,1633,1634,1639,1659,1691,1719,1743,1762,1781,1787,1791,1796,1811,1825,1839,1862,1883
394514,"Dallas-Fort Worth, TX",4,1095,1121,1126,1142,1137,1140,1144,1147,1151,1148,1145,1148,1152,1157,1169,1178,1188,1195,1201,1206,1202,1201,1200,1201,1207,1211,1225,1236,1246,1254,1260,1262,1263,1263,1265,1265,1268,1273,1282,1288,1300,1308,1312,1315,1315,1317,1314,1314,1318,1325,1328,1336,1340,1348,1354,1358,1354,1358,1362,1359,1362,1372,1375,1385,1394,1404,1408,1407,1409,1408,1405,1403,1406,1413,1419,1413,1410,1415,1418,1420,1422,1427,1430,1433,1437,1446,1460,1484,1515,1554,1595,1631,1655,1667,1686,1696,1705,1721,1730,1750
394974,"Philadelphia, PA",5,1353,1319,1340,1344,1353,1364,1369,1374,1377,1371,1369,1356,1360,1363,1375,1386,1398,1405,1407,1408,1406,1402,1403,1401,1406,1412,1422,1431,1440,1445,1451,1445,1443,1440,1442,1440,1442,1448,1457,1465,1471,1473,1476,1477,1474,1475,1479,1479,1476,1482,1493,1503,1513,1517,1518,1520,1522,1522,1521,1525,1531,1536,1545,1552,1560,1570,1573,1573,1572,1574,1574,1574,1575,1589,1594,1587,1590,1592,1592,1595,1595,1596,1598,1605,1604,1605,1615,1633,1654,1674,1694,1725,1738,1755,1770,1792,1788,1798,1812,1822
394692,"Houston, TX",6,1150,1178,1167,1175,1199,1212,1226,1234,1234,1238,1235,1232,1237,1240,1246,1257,1263,1271,1275,1277,1273,1270,1270,1269,1268,1274,1280,1280,1280,1283,1281,1277,1274,1271,1265,1261,1260,1263,1270,1273,1279,1281,1281,1282,1286,1296,1303,1307,1309,1313,1317,1323,1326,1331,1334,1332,1331,1330,1334,1328,1328,1330,1336,1341,1348,1355,1357,1355,1353,1352,1350,1353,1356,1358,1363,1354,1346,1345,1344,1344,1347,1351,1357,1356,1355,1353,1362,1377,1403,1435,1466,1488,1493,1507,1514,1524,1522,1533,1543,1550
395209,"Washington, DC",7,1744,1784,1772,1772,1784,1798,1808,1813,1815,1803,1794,1784,1788,1796,1797,1811,1817,1826,1830,1829,1824,1827,1822,1823,1825,1831,1840,1847,1856,1866,1849,1859,1856,1853,1848,1846,1853,1858,1864,1880,1889,1895,1896,1898,1895,1886,1875,1873,1875,1882,1887,1903,1914,1926,1934,1938,1932,1927,1926,1926,1932,1941,1949,1962,1973,1984,1990,1991,1992,1984,1978,1975,1981,1987,1994,1987,1977,1975,1972,1961,1944,1928,1911,1901,1903,1904,1914,1938,1971,2009,2046,2080,2098,2114,2122,2127,2131,2142,2156,2174
394856,"Miami-Fort Lauderdale, FL",8,1617,1622,1624,1625,1638,1645,1662,1669,1682,1688,1697,1701,1706,1718,1721,1725,1737,1748,1752,1766,1777,1787,1798,1802,1806,1814,1819,1816,1821,1821,1823,1828,1831,1832,1839,1838,1843,1846,1850,1849,1850,1855,1861,1868,1874,1882,1884,1886,1891,1892,1895,1896,1901,1908,1913,1921,1929,1936,1942,1944,1944,1946,1951,1953,1954,1957,1962,1968,1974,1984,1993,2003,2005,2011,2008,2001,1988,1986,1990,1994,2000,2013,2029,2046,2069,2088,2117,2161,2210,2269,2345,2421,2475,2529,2600,2672,2703,2760,2810,2846
394347,"Atlanta, GA",9,1062,1073,1073,1081,1087,1094,1099,1103,1101,1102,1104,1107,1109,1115,1122,1131,1143,1155,1161,1162,1160,1161,1161,1164,1169,1177,1190,1199,1209,1220,1228,1231,1234,1238,1237,1236,1240,1246,1255,1264,1277,1286,1297,1303,1307,1304,1304,1306,1312,1318,1329,1338,1352,1360,1368,1375,1379,1383,1387,1390,1400,1404,1415,1425,1435,1445,1450,1455,1460,1457,1455,1456,1462,1470,1476,1472,1471,1478,1489,1501,1512,1523,1529,1541,1553,1570,1591,1622,1654,1700,1753,1810,1843,1866,1876,1875,1881,1894,1903,1904
394404,"Boston, MA",10,2099,2116,2118,2112,2129,2149,2163,2173,2166,2158,2141,2126,2138,2162,2185,2199,2219,2237,2240,2235,2230,2223,2211,2211,2238,2264,2279,2294,2315,2327,2327,2331,2319,2306,2288,2295,2325,2347,2357,2376,2388,2398,2406,2401,2390,2364,2363,2367,2390,2405,2422,2439,2453,2467,2472,2466,2446,2440,2436,2446,2466,2477,2495,2516,2535,2552,2551,2548,2532,2518,2512,2519,2538,2558,2572,2563,2553,2545,2528,2470,2421,2375,2351,2349,2367,2395,2427,2465,2505,2548,2582,2605,2636,2658,2685,2682,2692,2697,2720,2762
395057,"San Francisco, CA",11,2160,2085,2148,2178,2240,2311,2336,2380,2424,2449,2452,2464,2485,2514,2545,2567,2609,2654,2668,2697,2712,2721,2721,2729,2736,2750,2762,2780,2798,2821,2816,2830,2815,2801,2791,2775,2779,2797,2808,2824,2851,2875,2890,2898,2898,2889,2876,2878,2887,2890,2905,2917,2943,2959,2974,2987,2990,2985,2985,2985,2987,2997,3012,3025,3040,3065,3079,3079,3073,3060,3057,3057,3073,3086,3082,3066,3052,3028,2996,2932,2874,2832,2814,2787,2791,2795,2828,2859,2903,2961,3017,3045,3055,3064,3061,3082,3090,3111,3145,3157
394532,"Detroit, MI",12,936,941,946,948,955,960,967,969,969,968,967,966,966,971,978,980,986,993,996,999,1002,992,994,995,1000,1003,1008,1014,1018,1025,1032,1040,1034,1034,1029,1027,1030,1034,1040,1049,1057,1066,1072,1075,1075,1073,1073,1073,1074,1080,1086,1088,1100,1105,1111,1115,1114,1113,1114,1113,1115,1116,1122,1131,1138,1146,1152,1155,1152,1151,1153,1152,1145,1150,1156,1160,1162,1170,1182,1189,1199,1214,1214,1224,1229,1237,1249,1263,1278,1295,1313,1329,1334,1347,1354,1362,1359,1370,1381,1405
395025,"Riverside, CA",13,1435,1444,1443,1442,1449,1456,1470,1470,1475,1478,1482,1492,1495,1503,1508,1520,1524,1529,1533,1542,1551,1554,1562,1565,1568,1575,1580,1587,1595,1607,1613,1616,1629,1629,1635,1637,1648,1652,1666,1681,1692,1701,1710,1719,1722,1730,1736,1732,1738,1752,1763,1776,1780,1794,1806,1816,1826,1832,1830,1840,1841,1849,1853,1863,1869,1874,1892,1901,1902,1910,1914,1918,1924,1932,1933,1926,1921,1940,1961,1991,2028,2058,2078,2092,2124,2135,2176,2210,2244,2296,2354,2404,2437,2443,2452,2474,2508,2536,2570,2584
394976,"Phoenix, AZ",14,953,968,963,964,972,978,980,984,987,988,990,992,994,1012,1016,1026,1034,1039,1039,1043,1048,1048,1052,1055,1062,1066,1075,1085,1092,1099,1102,1103,1105,1107,1109,1111,1115,1123,1132,1140,1149,1155,1161,1164,1168,1171,1170,1172,1179,1184,1198,1213,1222,1230,1238,1245,1250,1255,1261,1267,1270,1282,1292,1306,1319,1329,1338,1346,1348,1353,1359,1372,1379,1392,1395,1389,1389,1395,1407,1423,1439,1455,1473,1480,1495,1509,1535,1571,1620,1676,1734,1782,1813,1839,1864,1871,1882,1892,1904,1911
395078,"Seattle, WA",15,1340,1366,1357,1375,1403,1418,1430,1444,1450,1447,1445,1449,1457,1471,1485,1496,1509,1527,1538,1550,1554,1559,1553,1550,1560,1569,1593,1611,1638,1655,1652,1671,1673,1676,1668,1668,1676,1685,1709,1731,1753,1770,1781,1785,1780,1769,1756,1748,1752,1763,1778,1796,1814,1825,1833,1834,1829,1824,1818,1819,1821,1832,1847,1866,1884,1903,1912,1919,1910,1906,1901,1906,1922,1939,1953,1942,1931,1929,1926,1916,1894,1867,1838,1820,1828,1837,1861,1901,1944,1996,2048,2091,2122,2132,2138,2141,2143,2165,2185,2206
